name,team
Kossounou,Atalanta
Sulemana I.,Atalanta
Lookman,Atalanta
Tourè E.,Atalanta
Ilic M.,Bologna
Mina,Cagliari
Rog,Cagliari
Luvumbo,Cagliari
Esposito Se.,Cagliari
Smolcic I.,Como
Diao,Como
Pickel,Cremonese
Ranieri L.,Fiorentina
Gudmundsson A.,Fiorentina
Richardson,Fiorentina
Beltran L.,Fiorentina
Vitinha O.,Genoa
Ekuban,Genoa
Martinez L.,Inter
Kelly L.,Juventus
Gila,Lazio
Dele-Bashiru,Lazio
Belahyane,Lazio
Dia,Lazio
Perez M.,Lecce
Veiga D.,Lecce
Coulibaly L.,Lecce
Berisha M.,Lecce
Rafia,Lecce
Banda,Lecce
Jimenez A.,Milan
Chukwueze,Milan
Zambo Anguissa,Napoli
Ndiaye,Parma
Keita M.,Parma
Sorensen O.,Parma
Ordonez C.,Parma
Pellegrino M.,Parma
Caracciolo A.,Pisa
Tramoni M.,Pisa
Tourè I.,Pisa
Marin M.,Pisa
Nzola,Pisa
Buffon L.,Pisa
Vasquez D.,Roma
Konè M.,Roma
Pellegrini Lo.,Roma
El Aynaoui,Roma
Ferguson E.,Roma
Russo A.,Sassuolo
Konè I.,Sassuolo
Alvarez A.,Sassuolo
Moro L.,Sassuolo
Coco,Torino
Masina,Torino
Dembelè A.,Torino
Zapata D.,Torino
Adams C.,Torino
Aboukhlal,Torino
Okoye,Udinese
Zemura,Udinese
Rui Modesto,Udinese
Atta,Udinese
Miller L.,Udinese
Ebosse,Verona
Belghali,Verona
Niasse,Verona
Sarr A.,Verona
Giovane,Verona
