name,team,role
Dimarco,Inter,corner
Martinez L.,Inter,corner
Barella,Inter,corner
Asllani,Inter,corner
Sucic P.,Inter,corner
Esposito F.P.,Inter,corner
Zaccagni,Lazio,corner
Castellanos,Lazio,corner
Veiga D.,Lecce,corner
Tete Morente,Lecce,corner
Ramadani,Lecce,corner
Helgason,Lecce,corner
Sottil,Lecce,corner
Estupinan,Milan,corner
Jashari,Milan,corner
Jimenez A.,Milan,corner
Ordonez C.,Parma,freekick
Bernabè,Parma,freekick
Valeri,Parma,corner
Hernani,Parma,corner
Angori,Pisa,corner
Pellegrini Lo.,Roma,corner
Ferguson E.,Roma,corner
Adams C.,Torino,freekick
Adams C.,Torino,corner
Biraghi,Torino,corner
Ilic,Torino,corner
Dembelè A.,Torino,corner
Lazaro,Torino,corner
