player,player_norm,team,team_norm,role,FVM,ballotaggio,p_start,Pv_hat,AFCON_RISK,START_TIER,Mv_hat,G_perPv_hat,A_perPv_hat,YC_perPv_hat,RC_perPv_hat,OG_perPv_hat,GC_perPv_hat,PKsave_perPv_hat,G_hat,A_hat,YC_hat,RC_hat,OG_hat,GC_hat,PKsave_hat,PK_taken_hat,PK_goals_hat,SP_assists_hat,Mod_share_hat
Sommer,sommer,Inter,inter,P,90,False,0.85,32.3,0,starter,6.18,0.0,0.0,0.0,0.0,0.0,0.97,0.03,0.0,0.0,0.0,0.0,0.0,31.321,0.979,0.0,0.0,0.0,12.92
Di Gregorio,di gregorio,Juventus,juventus,P,83,False,0.85,32.3,0,starter,6.15,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,31.321,0.0,0.0,0.0,0.0,6.46
Maignan,maignan,Milan,milan,P,81,False,0.85,32.3,0,starter,6.18,0.0,0.0,0.027,0.0,0.0,1.108,0.027,0.0,0.0,0.873,0.0,0.0,35.792,0.873,0.0,0.0,0.0,6.46
Meret,meret,Napoli,napoli,P,92,True,0.65,24.7,0,battle,6.32,0.0,0.0,0.0,0.0,0.029,0.735,0.059,0.0,0.0,0.0,0.0,0.726,18.162,1.453,0.0,0.0,0.0,6.46
Svilar,svilar,Roma,roma,P,82,False,0.85,32.3,0,starter,6.32,0.0,0.0,0.026,0.0,0.0,0.921,0.0,0.0,0.0,0.85,0.0,0.0,29.75,0.0,0.0,0.0,0.0,6.46
Carnesecchi,carnesecchi,Atalanta,atalanta,P,71,False,0.85,32.3,0,starter,6.34,0.0,0.0,0.029,0.0,0.0,1.0,0.0,0.0,0.0,0.95,0.0,0.0,32.3,0.0,0.0,0.0,0.0,6.46
De Gea,de gea,Fiorentina,fiorentina,P,62,False,0.85,32.3,0,starter,6.34,0.0,0.0,0.029,0.0,0.0,1.086,0.057,0.0,0.0,0.923,0.0,0.0,35.069,1.846,0.0,0.0,0.0,6.46
Provedel,provedel,Lazio,lazio,P,54,True,0.65,24.7,0,battle,5.98,0.0,0.0,0.0,0.0,0.0,1.448,0.0,0.0,0.0,0.0,0.0,0.0,35.772,0.0,0.0,0.0,0.0,6.46
Skorupski,skorupski,Bologna,bologna,P,49,False,0.85,32.3,0,starter,6.17,0.0,0.0,0.037,0.0,0.0,1.222,0.037,0.0,0.0,1.196,0.0,0.0,39.478,1.196,0.0,0.0,0.0,6.46
Butez,butez,Como,como,P,32,False,0.85,32.3,0,starter,6.22,0.0,0.0,0.0,0.003,0.0,1.032,0.0,0.0,0.0,0.0,0.085,0.0,33.32,0.0,0.0,0.0,0.0,6.46
Israel,israel,Torino,torino,P,30,False,0.85,32.3,0,starter,3.2,0.0,0.0,0.079,0.0,0.0,1.184,0.105,0.0,0.0,2.55,0.0,0.0,38.25,3.4,0.0,0.0,0.0,6.46
Leali,leali,Genoa,genoa,P,28,False,0.85,32.3,0,starter,6.16,0.0,0.0,0.034,0.0,0.034,1.069,0.034,0.0,0.0,1.114,0.0,1.114,34.528,1.114,0.0,0.0,0.0,6.46
Caprile,caprile,Cagliari,cagliari,P,18,False,0.85,32.3,0,starter,6.2,0.0,0.0,0.0,0.0,0.0,1.045,0.0,0.0,0.0,0.0,0.0,0.0,33.768,0.0,0.0,0.0,0.0,6.46
Suzuki,suzuki,Parma,parma,P,15,False,0.85,32.3,0,starter,6.22,0.0,0.0,0.0,0.027,0.0,1.432,0.0,0.0,0.0,0.0,0.873,0.0,46.268,0.0,0.0,0.0,0.0,6.46
Turati,turati,Sassuolo,sassuolo,P,13,False,0.85,32.3,0,starter,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.799,0.085,0.253,40.964,0.787,0.0,0.0,0.0,6.46
Falcone,falcone,Lecce,lecce,P,14,False,0.85,32.3,0,starter,6.26,0.0,0.0,0.053,0.0,0.0,1.526,0.026,0.0,0.0,1.7,0.0,0.0,49.3,0.85,0.0,0.0,0.0,6.46
Okoye,okoye,Udinese,udinese,P,17,True,0.65,20.7,1,battle,6.1,0.0,0.0,0.04,0.0,0.04,1.6,0.0,0.0,0.0,0.828,0.0,0.828,33.12,0.0,0.0,0.0,0.0,0.0
Audero,audero,Cremonese,cremonese,P,12,False,0.85,32.3,0,starter,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.799,0.085,0.253,40.964,0.787,0.0,0.0,0.0,6.46
Montipò,montipo,Verona,verona,P,10,False,0.85,32.3,0,starter,6.19,0.0,0.0,0.0,0.0,0.028,1.778,0.028,0.0,0.0,0.0,0.0,0.897,57.422,0.897,0.0,0.0,0.0,6.46
Milinkovic-Savic V.,milinkovic-savic v,Napoli,napoli,P,11,True,0.65,24.7,0,battle,4.07,0.0,0.0,0.0,0.0,0.021,1.021,0.042,0.0,0.0,0.0,0.0,0.515,25.215,1.029,0.0,0.0,0.0,0.0
Sava,sava,Udinese,udinese,P,8,True,0.65,24.7,0,battle,6.04,0.0,0.0,0.071,0.0,0.011,1.389,0.0,0.0,0.0,1.755,0.0,0.26,34.32,0.0,0.0,0.0,0.0,6.46
Ravaglia F.,ravaglia f,Bologna,bologna,P,9,,0.35,13.3,0,backup,6.0,0.0,0.0,0.01,0.0,0.0,1.182,0.01,0.0,0.0,0.136,0.0,0.0,15.721,0.136,0.0,0.0,0.0,0.0
Mandas,mandas,Lazio,lazio,P,12,True,0.65,24.7,0,battle,6.28,0.0,0.0,0.0,0.0,0.0,1.059,0.0,0.0,0.0,0.0,0.0,0.0,26.162,0.0,0.0,0.0,0.0,0.0
Scuffet,scuffet,Pisa,pisa,P,5,True,0.65,24.7,0,battle,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.611,0.065,0.193,31.326,0.602,0.0,0.0,0.0,6.46
Semper,semper,Pisa,pisa,P,7,True,0.65,24.7,0,battle,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.611,0.065,0.193,31.326,0.602,0.0,0.0,0.0,0.0
Muric,muric,Sassuolo,sassuolo,P,6,,0.35,13.3,0,backup,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.329,0.035,0.104,16.868,0.324,0.0,0.0,0.0,0.0
Martinez Jo.,martinez jo,Inter,inter,P,5,False,0.85,32.3,0,starter,6.3,0.0,0.0,0.0,0.0,0.0,0.841,0.02,0.0,0.0,0.0,0.0,0.0,27.158,0.638,0.0,0.0,0.0,0.0
Rossi F.,rossi f,Atalanta,atalanta,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.026,0.0,0.0,0.974,0.0,0.0,0.0,0.35,0.0,0.0,12.95,0.0,0.0,0.0,0.0,0.0
Sportiello,sportiello,Atalanta,atalanta,P,1,,0.35,13.3,0,backup,4.627,0.0,0.0,0.026,0.0,0.0,0.974,0.0,0.0,0.0,0.35,0.0,0.0,12.95,0.0,0.0,0.0,0.0,0.0
Pessina Mas.,pessina mas,Bologna,bologna,P,1,,0.35,13.3,0,backup,4.057,0.0,0.0,0.026,0.0,0.0,1.205,0.026,0.0,0.0,0.341,0.0,0.0,16.028,0.341,0.0,0.0,0.0,0.0
Ciocci,ciocci,Cagliari,cagliari,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.0,1.172,0.0,0.0,0.0,0.0,0.0,0.0,15.593,0.0,0.0,0.0,0.0,0.0
Radunovic,radunovic,Cagliari,cagliari,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.0,1.172,0.0,0.0,0.0,0.0,0.0,0.0,15.593,0.0,0.0,0.0,0.0,0.0
Vigorito,vigorito,Como,como,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.026,0.0,1.316,0.0,0.0,0.0,0.0,0.35,0.0,17.5,0.0,0.0,0.0,0.0,0.0
Nava,nava,Cremonese,cremonese,P,1,,0.35,13.3,0,backup,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.329,0.035,0.104,16.868,0.324,0.0,0.0,0.0,0.0
Martinelli T.,martinelli t,Fiorentina,fiorentina,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.026,0.0,0.0,1.079,0.053,0.0,0.0,0.35,0.0,0.0,14.35,0.7,0.0,0.0,0.0,0.0
Siegrist,siegrist,Genoa,genoa,P,1,,0.35,13.3,0,backup,6.5,0.0,0.0,0.028,0.0,0.028,1.056,0.028,0.0,0.0,0.374,0.0,0.374,14.048,0.374,0.0,0.0,0.0,0.0
Sommariva,sommariva,Genoa,genoa,P,1,,0.35,13.3,0,backup,7.0,0.0,0.0,0.03,0.0,0.03,1.059,0.03,0.0,0.0,0.395,0.0,0.395,14.09,0.395,0.0,0.0,0.0,0.0
Di Gennaro,di gennaro,Inter,inter,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.0,0.921,0.026,0.0,0.0,0.0,0.0,0.0,12.25,0.35,0.0,0.0,0.0,0.0
Perin,perin,Juventus,juventus,P,2,,0.35,13.3,0,backup,6.1,0.0,0.0,0.0,0.0,0.0,0.841,0.0,0.0,0.0,0.0,0.0,0.0,11.182,0.0,0.0,0.0,0.0,0.0
Pinsoglio,pinsoglio,Juventus,juventus,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.0,0.921,0.0,0.0,0.0,0.0,0.0,0.0,12.25,0.0,0.0,0.0,0.0,0.0
Furlanetto,furlanetto,Lazio,lazio,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.0,1.289,0.0,0.0,0.0,0.0,0.0,0.0,17.15,0.0,0.0,0.0,0.0,0.0
Fruchtl,fruchtl,Lecce,lecce,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.053,0.0,0.0,1.526,0.026,0.0,0.0,0.7,0.0,0.0,20.3,0.35,0.0,0.0,0.0,0.0
Samooja,samooja,Lecce,lecce,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.053,0.0,0.0,1.526,0.026,0.0,0.0,0.7,0.0,0.0,20.3,0.35,0.0,0.0,0.0,0.0
Terracciano,terracciano,Milan,milan,P,1,,0.35,13.3,0,backup,3.045,0.0,0.0,0.026,0.0,0.0,1.103,0.026,0.0,0.0,0.341,0.0,0.0,14.664,0.341,0.0,0.0,0.0,0.0
Torriani,torriani,Milan,milan,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.026,0.0,0.0,1.103,0.026,0.0,0.0,0.341,0.0,0.0,14.664,0.341,0.0,0.0,0.0,0.0
Contini,contini,Napoli,napoli,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.0,0.021,1.021,0.042,0.0,0.0,0.0,0.0,0.277,13.577,0.554,0.0,0.0,0.0,0.0
Corvi,corvi,Parma,parma,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.026,0.0,1.474,0.0,0.0,0.0,0.0,0.35,0.0,19.6,0.0,0.0,0.0,0.0,0.0
Rinaldi,rinaldi,Parma,parma,P,1,,0.35,13.3,0,backup,0.0,0.0,0.0,0.0,0.026,0.0,1.474,0.0,0.0,0.0,0.0,0.35,0.0,19.6,0.0,0.0,0.0,0.0,0.0
Nicolas,nicolas,Pisa,pisa,P,1,,0.35,13.3,0,backup,3.43,0.0,0.0,0.025,0.003,0.008,1.268,0.024,0.0,0.0,0.329,0.035,0.104,16.868,0.324,0.0,0.0,0.0,0.0
Zelezny,zelezny,Roma,roma,P,1,,0.35,13.3,0,backup,2.03,0.0,0.0,0.044,0.0,0.0,1.111,0.022,0.0,0.0,0.591,0.0,0.0,14.778,0.296,0.0,0.0,0.0,0.0
Gollini,gollini,Roma,roma,P,1,,0.35,13.3,0,backup,5.86,0.0,0.0,0.079,0.0,0.0,1.472,0.064,0.0,0.0,1.049,0.0,0.0,19.581,0.857,0.0,0.0,0.0,0.0
